country,message_id,message_combination,target_topic,target_position,target_group,target_message,target_constraint_gender,sender_scope,sender_message,sender_category,sender_hatescore
bra,bra-mssge-45,mensrights-left-mocking-personal-1,mensrights,left,Weak men,Deveria ser normal que homens chorem.,NA,personal,"Tá bom, docinho, vai pro colo da sua mãe chorar kkk",mocking,1
bra,bra-mssge-46,mensrights-left-meme-group-1,mensrights,left,Weak men,Deveria ser normal que homens chorem.,NA,group,men_l_group.jpeg,meme,1
bra,bra-mssge-47,mensrights-left-meme-personal-1,mensrights,left,Weak men,Deveria ser normal que homens chorem.,NA,personal,men_l_personal.jpeg,meme,1
bra,bra-mssge-48,mensrights-right-opinion-group-1,mensrights,right,Toxic men,Precisamos de homens fortes e independentes!,NA,group,Homens tóxicos não deveriam ter espaço na internet,opinion,1
bra,bra-mssge-49,mensrights-right-opinion-group-2,mensrights,right,Toxic men,Precisamos de homens fortes e independentes!,NA,group,Deveria haver leis impedindo que homens tóxicos estejam no poder!,opinion,2
bra,bra-mssge-50,mensrights-right-insult-group-1,mensrights,right,Toxic men,Precisamos de homens fortes e independentes!,NA,group,A maior parte dos homens são idiotas tóxicos,insult,1
bra,bra-mssge-51,mensrights-right-insult-personal-1,mensrights,right,Toxic men,Precisamos de homens fortes e independentes!,male,personal,Você é um tremendo idiota tóxico,insult,1
bra,bra-mssge-52,mensrights-right-insult-personal-1,mensrights,right,Toxic men,Precisamos de homens fortes e independentes!,female,personal,Você é uma dona de casa estúpida,insult,1
bra,bra-mssge-53,mensrights-right-insult-group-2,mensrights,right,Toxic men,Precisamos de homens fortes e independentes!,NA,group,A maioria dos homens são predadores nojentos!,insult,2
bra,bra-mssge-54,mensrights-right-insult-personal-2,mensrights,right,Toxic men,Precisamos de homens fortes e independentes!,male,personal,Você é um predador nojento!,insult,2
bra,bra-mssge-55,mensrights-right-insult-personal-2,mensrights,right,Toxic men,Precisamos de homens fortes e independentes!,female,personal,Você é uma biscate preguiçosa!,insult,2
bra,bra-mssge-56,mensrights-right-threat-group-1,mensrights,right,Toxic men,Precisamos de homens fortes e independentes!,NA,group,Homens tóxicos deveriam levar um soco na cara,threat,1
bra,bra-mssge-57,mensrights-right-threat-personal-1,mensrights,right,Toxic men,Precisamos de homens fortes e independentes!,NA,personal,Você devia levar um soco na cara,threat,1
bra,bra-mssge-58,mensrights-right-threat-group-2,mensrights,right,Toxic men,Precisamos de homens fortes e independentes!,NA,group,Homens tóxicos merecem levar tiro!,threat,2
bra,bra-mssge-59,mensrights-right-threat-personal-2,mensrights,right,Toxic men,Precisamos de homens fortes e independentes!,NA,personal,Você devia levar tiro!,threat,2
bra,bra-mssge-60,mensrights-right-mocking-group-1,mensrights,right,Toxic men,Precisamos de homens fortes e independentes!,NA,group,"Ah sim, com certeza precisamos de mais homens tóxicos",mocking,1
bra,bra-mssge-61,mensrights-right-mocking-personal-1,mensrights,right,Toxic men,Precisamos de homens fortes e independentes!,NA,personal,"Hmm, você precisa de um homem forte, de verdade, para cuidar de você, querida?",mocking,1
bra,bra-mssge-62,mensrights-right-meme-group-1,mensrights,right,Toxic men,Precisamos de homens fortes e independentes!,NA,group,men_r_group.jpeg,meme,1
bra,bra-mssge-63,mensrights-right-meme-personal-1,mensrights,right,Toxic men,Precisamos de homens fortes e independentes!,NA,personal,men_r_personal.jpeg,meme,1
bra,bra-mssge-64,immigration-left-opinion-group-1,immigration,left,Immigrants,Imigração faz nossa sociedade mais forte e melhor!,NA,group,Apenas deveríamos receber imigrantes legalizados,opinion,1
bra,bra-mssge-65,immigration-left-opinion-group-2,immigration,left,Immigrants,Imigração faz nossa sociedade mais forte e melhor!,NA,group,O governo deveria deportar mais!,opinion,2
bra,bra-mssge-66,immigration-left-insult-group-1,immigration,left,Immigrants,Imigração faz nossa sociedade mais forte e melhor!,NA,group,A maior parte dos imigrantes é ignorante,insult,1
bra,bra-mssge-67,immigration-left-insult-personal-1,immigration,left,Immigrants,Imigração faz nossa sociedade mais forte e melhor!,NA,personal,Você claramente precisa de mais educação,insult,1
bra,bra-mssge-68,immigration-left-insult-group-2,immigration,left,Immigrants,Imigração faz nossa sociedade mais forte e melhor!,NA,group,Imigrantes são ratos sujos!,insult,2
bra,bra-mssge-69,immigration-left-insult-personal-2,immigration,left,Immigrants,Imigração faz nossa sociedade mais forte e melhor!,NA,personal,Você é um imigrante sujo!,insult,2
bra,bra-mssge-70,immigration-left-threat-group-1,immigration,left,Immigrants,Imigração faz nossa sociedade mais forte e melhor!,NA,group,Imigrantes deveriam apanhar,threat,1
bra,bra-mssge-71,immigration-left-threat-personal-1,immigration,left,Immigrants,Imigração faz nossa sociedade mais forte e melhor!,NA,personal,Você deveria apanhar na cara.,threat,1
bra,bra-mssge-72,immigration-left-threat-group-2,immigration,left,Immigrants,Imigração faz nossa sociedade mais forte e melhor!,NA,group,Todos os imigrantes deveriam ser exterminados como vermes!,threat,2
bra,bra-mssge-73,immigration-left-threat-personal-2,immigration,left,Immigrants,Imigração faz nossa sociedade mais forte e melhor!,NA,personal,Você deveria morrer como um verme!,threat,2
bra,bra-mssge-74,immigration-left-mocking-group-1,immigration,left,Immigrants,Imigração faz nossa sociedade mais forte e melhor!,NA,group,"Ah sim, mal consigo imaginar nossa sociedade sem esses traficantes kkk",mocking,1
bra,bra-mssge-75,immigration-left-mocking-personal-1,immigration,left,Immigrants,Imigração faz nossa sociedade mais forte e melhor!,male,personal,Por que você se importa tanto com imigrantes? É algum tipo de tarado por gringo? Kkk,mocking,1
bra,bra-mssge-76,immigration-left-mocking-personal-1,immigration,left,Immigrants,Imigração faz nossa sociedade mais forte e melhor!,female,personal,Por que você se importa tanto com imigrantes? É algum tipo de tarada por gringo? Kkk,mocking,1
bra,bra-mssge-77,immigration-left-meme-group-1,immigration,left,Immigrants,Imigração faz nossa sociedade mais forte e melhor!,NA,group,immigrants_l_group.jpeg,meme,1
bra,bra-mssge-78,immigration-left-meme-personal-1,immigration,left,Immigrants,Imigração faz nossa sociedade mais forte e melhor!,NA,personal,immigrants_l_personal.jpeg,meme,1
bra,bra-mssge-79,immigration-right-opinion-group-1,immigration,right,Xenophobes,O Brasil deveria ser apenas para brasileiros,NA,group,Xenófobos não deveriam ser tolerados na internet,opinion,1
bra,bra-mssge-80,immigration-right-opinion-group-2,immigration,right,Xenophobes,O Brasil deveria ser apenas para brasileiros,NA,group,Xenófobos deveriam perder sua cidadania e ser expulsos do país!,opinion,2
bra,bra-mssge-81,immigration-right-insult-group-1,immigration,right,Xenophobes,O Brasil deveria ser apenas para brasileiros,NA,group,"Xenófobos são patéticos, intolerantes fracassados.",insult,1
bra,bra-mssge-82,immigration-right-insult-personal-1,immigration,right,Xenophobes,O Brasil deveria ser apenas para brasileiros,NA,personal,"Você é patético, seu intolerante fracassado",insult,1
bra,bra-mssge-83,immigration-right-insult-group-2,immigration,right,Xenophobes,O Brasil deveria ser apenas para brasileiros,NA,group,Xenófobos são um bando de paga pau de bandeiras!,insult,2
bra,bra-mssge-84,immigration-right-insult-personal-2,immigration,right,Xenophobes,O Brasil deveria ser apenas para brasileiros,NA,personal,Você é um paga pau de bandeiras!,insult,2
bra,bra-mssge-85,immigration-right-threat-group-1,immigration,right,Xenophobes,O Brasil deveria ser apenas para brasileiros,NA,group,Xenófobos deveriam apanhar na cara,threat,1
bra,bra-mssge-86,immigration-right-threat-personal-1,immigration,right,Xenophobes,O Brasil deveria ser apenas para brasileiros,male,personal,"Tomara que alguém te quebre a cara, seu xenófobo",threat,1
bra,bra-mssge-87,immigration-right-threat-personal-1,immigration,right,Xenophobes,O Brasil deveria ser apenas para brasileiros,female,personal,"Tomara que alguém te quebre a cara, sua xenófoba",threat,1
bra,bra-mssge-88,immigration-right-threat-group-2,immigration,right,Xenophobes,O Brasil deveria ser apenas para brasileiros,NA,group,Xenófobos deviam ser pegos e fuzilados!,threat,2
bra,bra-mssge-89,immigration-right-threat-personal-2,immigration,right,Xenophobes,O Brasil deveria ser apenas para brasileiros,NA,personal,Tomara que alguém te dê um tiro no meio da rua!,threat,2
bra,bra-mssge-90,immigration-right-mocking-group-1,immigration,right,Xenophobes,O Brasil deveria ser apenas para brasileiros,NA,group,"Ah claro, pessoas que não sejam indígenas não têm lugar aqui kkkkkkk",mocking,1
bra,bra-mssge-91,immigration-right-mocking-personal-1,immigration,right,Xenophobes,O Brasil deveria ser apenas para brasileiros,NA,personal,"Ui, alguém se sentiu ameaçado pelos estrangeiros grandes e fortões? Buuuuuuuu",mocking,1
bra,bra-mssge-92,immigration-right-meme-group-1,immigration,right,Xenophobes,O Brasil deveria ser apenas para brasileiros,NA,group,immigrants_r_group.jpeg,meme,1
bra,bra-mssge-93,immigration-right-meme-personal-1,immigration,right,Xenophobes,O Brasil deveria ser apenas para brasileiros,NA,personal,immigrants_r_personal.jpeg,meme,1
bra,bra-mssge-94,racism-left-opinion-group-1,racism,left,Wokeists,Nossas instituições estão construídas com base no racismo,NA,group,Toda essa militância não deveria ser ensinada nas escolas,opinion,1
bra,bra-mssge-95,racism-left-opinion-group-2,racism,left,Wokeists,Nossas instituições estão construídas com base no racismo,NA,group,Todos os livros de militantes deveriam ser ilegais e irem para a fogueira!,opinion,2
bra,bra-mssge-96,racism-left-insult-group-1,racism,left,Wokeists,Nossas instituições estão construídas com base no racismo,NA,group,Os militantes radicais de esquerda são todos extremistas fanáticos.,insult,1
bra,bra-mssge-97,racism-left-insult-personal-1,racism,left,Wokeists,Nossas instituições estão construídas com base no racismo,NA,personal,"Você é um extremista lunático, cale a boca",insult,1
bra,bra-mssge-98,racism-left-insult-group-2,racism,left,Wokeists,Nossas instituições estão construídas com base no racismo,NA,group,A brigada de militantes são um bando de bandidos da cultura do cancelamento!,insult,2
bra,bra-mssge-99,racism-left-insult-personal-2,racism,left,Wokeists,Nossas instituições estão construídas com base no racismo,male,personal,Você é um bandido da cultura do cancelamento!,insult,2
bra,bra-mssge-100,racism-left-insult-personal-2,racism,left,Wokeists,Nossas instituições estão construídas com base no racismo,female,personal,Você é uma bandida da cultura do cancelamento!,insult,2
bra,bra-mssge-101,racism-left-threat-group-1,racism,left,Wokeists,Nossas instituições estão construídas com base no racismo,NA,group,Todos esses militantes radicais de esquerda deveriam apanhar na cara.,threat,1
bra,bra-mssge-102,racism-left-threat-personal-1,racism,left,Wokeists,Nossas instituições estão construídas com base no racismo,NA,personal,Deveriam arrancar de você essas ideias de militante,threat,1
bra,bra-mssge-103,racism-left-threat-group-2,racism,left,Wokeists,Nossas instituições estão construídas com base no racismo,NA,group,Os militantes radicais de esquera deveriam ser exterminados!,threat,2
bra,bra-mssge-104,racism-left-threat-personal-2,racism,left,Wokeists,Nossas instituições estão construídas com base no racismo,NA,personal,Deviam te exterminar!,threat,2
bra,bra-mssge-105,racism-left-mocking-group-1,racism,left,Wokeists,Nossas instituições estão construídas com base no racismo,NA,group,Eu pensava que nossas instituições eram construídas com materiais de construção kkkk,mocking,1
bra,bra-mssge-106,racism-left-mocking-personal-1,racism,left,Wokeists,Nossas instituições estão construídas com base no racismo,male,personal,hahaha que desculpa conveniente para ser um fracassado!,mocking,1
bra,bra-mssge-107,racism-left-mocking-personal-1,racism,left,Wokeists,Nossas instituições estão construídas com base no racismo,female,personal,hahaha que desculpa conveniente para ser uma fracassada!,mocking,1
bra,bra-mssge-108,racism-left-meme-group-1,racism,left,Wokeists,Nossas instituições estão construídas com base no racismo,NA,group,racism_l_group.jpeg,meme,1
bra,bra-mssge-109,racism-left-meme-personal-1,racism,left,Wokeists,Nossas instituições estão construídas com base no racismo,NA,personal,racism_l_personal.jpeg,meme,1
bra,bra-mssge-110,racism-right-opinion-group-1,racism,right,Racists,Racismo é uma questão exagerada,NA,group,Racistas não deviam ser tolerados na internet.,opinion,1
bra,bra-mssge-111,racism-right-opinion-group-2,racism,right,Racists,Racismo é uma questão exagerada,NA,group,Racistas deveriam ser presos por suas atitudes!,opinion,2
bra,bra-mssge-112,racism-right-insult-group-1,racism,right,Racists,Racismo é uma questão exagerada,NA,group,Todos os racistas brancos são idiotas intolerantes,insult,1
bra,bra-mssge-113,racism-right-insult-personal-1,racism,right,Racists,Racismo é uma questão exagerada,male,personal,Você é um idiota intolerante,insult,1
bra,bra-mssge-114,racism-right-insult-personal-1,racism,right,Racists,Racismo é uma questão exagerada,female,personal,Você é uma idiota intolerante,insult,1
bra,bra-mssge-115,racism-right-insult-group-2,racism,right,Racists,Racismo é uma questão exagerada,NA,group,Todos os racistas brancos são porcos nojentos!,insult,2
bra,bra-mssge-116,racism-right-insult-personal-2,racism,right,Racists,Racismo é uma questão exagerada,male,personal,Você é um porco racista!,insult,2
bra,bra-mssge-117,racism-right-insult-personal-2,racism,right,Racists,Racismo é uma questão exagerada,female,personal,Você é uma porca racista!,insult,2
bra,bra-mssge-118,racism-right-threat-group-1,racism,right,Racists,Racismo é uma questão exagerada,NA,group,Todos os racistas deveriam apanhar na cara.,threat,1
bra,bra-mssge-119,racism-right-threat-personal-1,racism,right,Racists,Racismo é uma questão exagerada,NA,personal,Espero que alguém quebre sua cara.,threat,1
bra,bra-mssge-120,racism-right-threat-group-2,racism,right,Racists,Racismo é uma questão exagerada,NA,group,Racistas deveriam ser violentamente expurgados da sociedade!,threat,2
bra,bra-mssge-121,racism-right-threat-personal-2,racism,right,Racists,Racismo é uma questão exagerada,male,personal,Você devia ser escorraçado da sociedade!,threat,2
bra,bra-mssge-122,racism-right-threat-personal-2,racism,right,Racists,Racismo é uma questão exagerada,female,personal,Você devia ser escorraçada da sociedade!,threat,2
bra,bra-mssge-123,racism-right-mocking-group-1,racism,right,Racists,Racismo é uma questão exagerada,NA,group,"kkk graças a Deus! O racismo agora foi totalmente resolvido, obrigado!",mocking,1
bra,bra-mssge-124,racism-right-mocking-personal-1,racism,right,Racists,Racismo é uma questão exagerada,NA,personal,"Uau, nem sabia que você era especialista em racismo!",mocking,1
bra,bra-mssge-125,racism-right-meme-group-1,racism,right,Racists,Racismo é uma questão exagerada,NA,group,racism_r_group.jpeg,meme,1
bra,bra-mssge-126,racism-right-meme-personal-1,racism,right,Racists,Racismo é uma questão exagerada,NA,personal,racism_r_personal.jpeg,meme,1
bra,bra-mssge-127,veganism-left-opinion-group-1,veganism,left,Vegans,Estaríamos melhor se todo mundo fosse vegano,NA,group,Temos que comer carne para o bem de nossa saúde,opinion,1
bra,bra-mssge-128,veganism-left-opinion-group-2,veganism,left,Vegans,Estaríamos melhor se todo mundo fosse vegano,NA,group,"A lei deveria proibir que veganos tenham filhos, é crueldade infantil!",opinion,2
bra,bra-mssge-129,veganism-left-insult-group-1,veganism,left,Vegans,Estaríamos melhor se todo mundo fosse vegano,NA,group,Veganos são elitistas ignorantes.,insult,1
bra,bra-mssge-130,veganism-left-insult-personal-1,veganism,left,Vegans,Estaríamos melhor se todo mundo fosse vegano,male,personal,Você é um elitista ignorante.,insult,1
bra,bra-mssge-131,veganism-left-insult-personal-1,veganism,left,Vegans,Estaríamos melhor se todo mundo fosse vegano,female,personal,Você é uma elitista ignorante.,insult,1
bra,bra-mssge-132,veganism-left-insult-group-2,veganism,left,Vegans,Estaríamos melhor se todo mundo fosse vegano,NA,group,Veganos são um bando de hippongas sujos!,insult,2
bra,bra-mssge-133,veganism-left-insult-personal-2,veganism,left,Vegans,Estaríamos melhor se todo mundo fosse vegano,male,personal,Você é só um hipponga sujo!,insult,2
bra,bra-mssge-134,veganism-left-insult-personal-2,veganism,left,Vegans,Estaríamos melhor se todo mundo fosse vegano,female,personal,Você é só uma hipponga suja!,insult,2
bra,bra-mssge-135,veganism-left-threat-group-1,veganism,left,Vegans,Estaríamos melhor se todo mundo fosse vegano,NA,group,Veganos deveriam ser alimentados à força com carne.,threat,1
bra,bra-mssge-136,veganism-left-threat-personal-1,veganism,left,Vegans,Estaríamos melhor se todo mundo fosse vegano,NA,personal,Eu deveria te enfiar um hamburguer goela à baixo,threat,1
bra,bra-mssge-137,veganism-left-threat-group-2,veganism,left,Vegans,Estaríamos melhor se todo mundo fosse vegano,NA,group,Veganos deveriam ser arrebanhados e abatidos como gado!,threat,2
bra,bra-mssge-138,veganism-left-threat-personal-2,veganism,left,Vegans,Estaríamos melhor se todo mundo fosse vegano,NA,personal,Espero que alguém te abata como um gado!,threat,2
bra,bra-mssge-139,veganism-left-mocking-group-1,veganism,left,Vegans,Estaríamos melhor se todo mundo fosse vegano,NA,group,Estaríamos muito melhor se esses veganos finalmente calassem a boca kkkk,mocking,1
bra,bra-mssge-140,veganism-left-mocking-personal-1,veganism,left,Vegans,Estaríamos melhor se todo mundo fosse vegano,NA,personal,A cada hamburguer que você não come eu como dois kkkkk,mocking,1
bra,bra-mssge-141,veganism-left-meme-group-1,veganism,left,Vegans,Estaríamos melhor se todo mundo fosse vegano,NA,group,vegans_l_group.jpeg,meme,1
bra,bra-mssge-142,veganism-left-meme-personal-1,veganism,left,Vegans,Estaríamos melhor se todo mundo fosse vegano,NA,personal,vegans_l_personal.jpeg,meme,1
bra,bra-mssge-143,veganism-right-opinion-group-1,veganism,right,Meat-eaters,Comer carne é um direito meu.,NA,group,"Deveríamos parar de dar carne para crianças, é terrível para elas",opinion,1
bra,bra-mssge-144,veganism-right-opinion-group-2,veganism,right,Meat-eaters,Comer carne é um direito meu.,NA,group,Pessoas que comem carne deveriam ser processadas por assassinato!,opinion,2
bra,bra-mssge-145,veganism-right-insult-group-1,veganism,right,Meat-eaters,Comer carne é um direito meu.,NA,group,Pessoas que comem carne são nojentas,insult,1
bra,bra-mssge-146,veganism-right-insult-personal-1,veganism,right,Meat-eaters,Comer carne é um direito meu.,NA,personal,"Você é nojento, seu carnista",insult,1
bra,bra-mssge-147,veganism-right-insult-group-2,veganism,right,Meat-eaters,Comer carne é um direito meu.,NA,group,"Pessoas que comam carne são incivilizados, são como homens das cavernas!",insult,2
bra,bra-mssge-148,veganism-right-insult-personal-2,veganism,right,Meat-eaters,Comer carne é um direito meu.,NA,personal,"Volte para sua caverna, carnista!",insult,2
bra,bra-mssge-149,veganism-right-threat-group-1,veganism,right,Meat-eaters,Comer carne é um direito meu.,NA,group,Comedores de carne deveriam provar ser laçados e marcados como o gado,threat,1
bra,bra-mssge-150,veganism-right-threat-personal-1,veganism,right,Meat-eaters,Comer carne é um direito meu.,NA,personal,Espero que alguém te lace e marque como um gado,threat,1
bra,bra-mssge-151,veganism-right-threat-group-2,veganism,right,Meat-eaters,Comer carne é um direito meu.,NA,group,Comedores de carne deveriam ser abatidos e vendidos por aí!,threat,2
bra,bra-mssge-152,veganism-right-threat-personal-2,veganism,right,Meat-eaters,Comer carne é um direito meu.,NA,personal,Espero que alguém te abata e te ofereça de jantar!,threat,2
bra,bra-mssge-153,veganism-right-mocking-group-1,veganism,right,Meat-eaters,Comer carne é um direito meu.,NA,group,"Ah, eu entendo. Todas essas leis que banem consumo de carne… opa, pera, elas nunca existiram!",mocking,1
bra,bra-mssge-154,veganism-right-mocking-personal-1,veganism,right,Meat-eaters,Comer carne é um direito meu.,NA,personal,Alguém aqui está sentindo a ameaça de grandes e assustadores… veganos? Kkkkkk,mocking,1
bra,bra-mssge-155,veganism-right-meme-group-1,veganism,right,Meat-eaters,Comer carne é um direito meu.,NA,group,vegans_r_group.jpeg,meme,1
bra,bra-mssge-156,veganism-right-meme-personal-1,veganism,right,Meat-eaters,Comer carne é um direito meu.,NA,personal,vegans_r_personal.jpeg,meme,1
bra,bra-mssge-157,climatechange-left-opinion-group-1,climatechange,left,Climate alarmists,Mudanças climáticas são uma ameaça fundamental para a humanidade.,NA,group,Alarmistas climáticos deveriam ser impedidos de seguir espalhando mentiras,opinion,1
bra,bra-mssge-158,climatechange-left-opinion-group-2,climatechange,left,Climate alarmists,Mudanças climáticas são uma ameaça fundamental para a humanidade.,NA,group,Alarmistas climáticos deverim ser expulsos do país!,opinion,2
bra,bra-mssge-159,climatechange-left-insult-group-1,climatechange,left,Climate alarmists,Mudanças climáticas são uma ameaça fundamental para a humanidade.,NA,group,Alarmistas climáticos são idiotas ingênuos.,insult,1
bra,bra-mssge-160,climatechange-left-insult-personal-1,climatechange,left,Climate alarmists,Mudanças climáticas são uma ameaça fundamental para a humanidade.,male,personal,"Como você é ingênuo, seu alarmista climático",insult,1
